dataset,type,threads,opengene_s,d0bromir_cpu_s,d0bromir_gpu_s,gpu_overhead_vs_cpu_s,gpu_overhead_vs_cpu_pct,note
Panel_SE_148M,SE,1,7.589,7.646,11.568,3.922,33.9%,derived_from_walltime
Panel_SE_148M,SE,2,7.549,4.631,8.627,3.996,46.3%,derived_from_walltime
Panel_SE_148M,SE,4,7.548,3.792,7.175,3.383,47.1%,derived_from_walltime
Panel_SE_148M,SE,8,7.557,3.905,7.355,3.45,46.9%,derived_from_walltime
Panel_SE_148M,SE,16,7.554,3.956,7.279,3.323,45.7%,derived_from_walltime
Panel_SE_148M,SE,32,7.65,4.48,8.01,3.53,44.1%,derived_from_walltime
Panel_PE_304M,PE,1,13.731,11.283,13.009,1.726,13.3%,derived_from_walltime
Panel_PE_304M,PE,2,7.35,6.288,8.992,2.704,30.1%,derived_from_walltime
Panel_PE_304M,PE,4,6.571,3.867,7.193,3.326,46.2%,derived_from_walltime
Panel_PE_304M,PE,8,6.667,3.379,6.875,3.496,50.9%,derived_from_walltime
Panel_PE_304M,PE,16,6.781,3.534,7.133,3.599,50.5%,derived_from_walltime
Panel_PE_304M,PE,32,6.988,4.163,7.813,3.65,46.7%,derived_from_walltime
WGS_SE_6.3G,SE,1,293.654,293.479,295.575,2.096,0.7%,derived_from_walltime
WGS_SE_6.3G,SE,2,293.552,151.842,156.568,4.726,3.0%,derived_from_walltime
WGS_SE_6.3G,SE,4,292.495,82.261,86.823,4.562,5.3%,derived_from_walltime
WGS_SE_6.3G,SE,8,292.951,82.424,86.945,4.521,5.2%,derived_from_walltime
WGS_SE_6.3G,SE,16,292.771,82.639,86.805,4.166,4.8%,derived_from_walltime
WGS_SE_6.3G,SE,32,293.29,82.88,87.34,4.46,5.1%,derived_from_walltime
WGS_PE_12.8G,PE,1,710.874,563.109,569.574,6.465,1.1%,derived_from_walltime
WGS_PE_12.8G,PE,2,378.18,286.611,291.802,5.191,1.8%,derived_from_walltime
WGS_PE_12.8G,PE,4,268.225,146.657,149.822,3.165,2.1%,derived_from_walltime
WGS_PE_12.8G,PE,8,269.049,76.5,79.486,2.986,3.8%,derived_from_walltime
WGS_PE_12.8G,PE,16,269.262,68.753,72.887,4.134,5.7%,derived_from_walltime
WGS_PE_12.8G,PE,32,269.16,71.61,75.98,4.37,5.8%,derived_from_walltime
WGS_PE_18.2G,PE,1,978.752,743.885,749.879,5.994,0.8%,derived_from_walltime
WGS_PE_18.2G,PE,2,519.076,379.81,382.873,3.063,0.8%,derived_from_walltime
WGS_PE_18.2G,PE,4,397.273,192.394,196.908,4.514,2.3%,derived_from_walltime
WGS_PE_18.2G,PE,8,397.498,101.979,104.383,2.404,2.3%,derived_from_walltime
WGS_PE_18.2G,PE,16,398.388,100.865,105.02,4.155,4.0%,derived_from_walltime
WGS_PE_40G,PE,1,4841.111,3666.7,3663.09,-3.61,-0.1%,derived_from_walltime
WGS_PE_40G,PE,2,2520.194,1864.022,1839.41,-24.612,-1.3%,derived_from_walltime
WGS_PE_40G,PE,4,1264.396,943.387,930.668,-12.719,-1.4%,derived_from_walltime
WGS_PE_40G,PE,8,1098.307,479.325,474.334,-4.991,-1.1%,derived_from_walltime
WGS_PE_40G,PE,16,1098.289,273.591,278.237,4.646,1.7%,derived_from_walltime
