dataset,threads,cpu_filter_ms,gpu_filter_ms,speedup
Panel_SE_148M,8,47,38,1.24x
Panel_PE_304M,8,122,97,1.26x
WGS_SE_6.3G,1,151,147,1.03x
WGS_SE_6.3G,2,72,64,1.12x
WGS_SE_6.3G,4,36,35,1.03x
WGS_SE_6.3G,8,38,44,0.86x
WGS_SE_6.3G,16,48,49,0.98x
WGS_PE_12.8G,1,3580,3645,0.98x
WGS_PE_12.8G,2,2010,2990,0.67x
WGS_PE_12.8G,4,1020,1116,0.91x
WGS_PE_12.8G,8,815,697,1.17x
WGS_PE_12.8G,16,130,125,1.04x
WGS_PE_12.8G,32,128,126,1.02x
WGS_PE_18.2G,1,3298,3332,0.99x
WGS_PE_18.2G,2,1712,2085,0.82x
WGS_PE_18.2G,4,954,1186,0.80x
WGS_PE_18.2G,8,247,151,1.64x
WGS_PE_18.2G,16,115,121,0.95x
WGS_PE_18.2G,32,114,118,0.97x
WGS_PE_40G,8,1409,1272,1.11x
